L,Are you answering these questions for yourself - or are you answering on behalf someone else who has the medical problem,,,,,,,,,,,,,,,,Respondent answering on behalf of,,0
,,,,Another hospital doctor,,,,,,,,,,,,,,,
,,,,Paramedic,,,,,,,,,,,,,,,
T,,,Where does this health professional work,,,,,,,,,,,,,,Location of professional advisor,,
,,,,text ,,,,,,,,,,,,,,,
L,,,When was this,,,,,,,,,,,,,,When advice given,,
,,,,Within the last day,,,,,,,,,,,,,,,
,,,,2 days ago,,,,,,,,,,,,,,,
,,,,3 days ago,,,,,,,,,,,,,,,
,,,,3 days to 1 week ago,,,,,,,,,,,,,,,
,,,,1 - 2 weeks ago,,,,,,,,,,,,,,,
,,,,2 - 4 weeks ago,,,,,,,,,,,,,,,
D,conditions #tree dialog,,,,,,,,,,,,,,,,,,
LMV,Do you have any of the following conditions,,,,,,,,,,,,,,,Does the person have any of the following conditions,Significant chronic conditions,,
,,Diabetes,,,,,,,,,,,,,,,,,
,,Asthma,,,,,,,,,,,,,,,,,
,,Heart Problems,,,,,,,,,,,,,,,,,
,,Liver Problems,,,,,,,,,,,,,,,,,
,,Kidney Problems,,,,,,,,,,,,,,,,,
,,Any active malignancy or cancer,,,,,,,,,,,,,,,,,
,,Any previous or inactive malignancy or cancer,,,,,,,,,,,,,,,,,
,,Any other major medical condition,,,,,,,,,,,,,,,,,
T,,,Other medical condition,,,,,,,,,,,,,,,,
,,,,text,,,,,,,,,,,,,,,
X,"Please give details of any regular medication, taken for different reasons than to treat {Ind0065DYHvAnyOfThFllw} within the last 7 days",,,,,,,,,,,,,,,,7 day Regular Medication taken,,
,,/*multi instance*/,,,,,,,,,,,,,,,,,
T,,,Details of medication,,,,,,,,,,,,,,,,
,,,,text,,,,,,,,,,,,,,,
X,Please give details of any other OCCASIONAL or PREVIOUS medication taken for any reason within the past 3 months,,,,,,,,,,,,,,,,3 month Occasional or Previous Medication taken,,
,,/*multi instance*/,,,,,,,,,,,,,,,,,
T,,,Details of medication,,,,,,,,,,,,,,,,
,,,,text,,,,,,,,,,,,,,,
L,Are there any known or suspected allergies or other bad reactions to medicines or other treatments,,,,,,,,,,,,,,,,Allergies or adverse reactions,,
,,yes,,,,,,,,,,,,,,,,,
X,,,Please provide details of all suspect medicines or treatments,,,,,,,,,,,,,,,,
,,,,/*multi instance*/,,,,,,,,,,,,,,,
T,,,,,"If known, please provide the name of this medication or treatment",,,,,,,,,,,,Details of implicated medication,,
,,,,,,Text,,,,,,,,,,,,,
L,,,,,Please give details of when this reaction first occurred,,,,,,,,,,,,When first occurrence of this allergy or abreaction,,
,,,,,,Under 2 years ago,,,,,,,,,,,,,
,,,,,,2 - 5 years ago,,,,,,,,,,,,,
,,,,,,More than 5 years ago,,,,,,,,,,,,,
LM,,,,,"What is the evidence for there being an allergy or intolerance to this medication, cream or dressing - Tick all which apply",,,,,,,,,,,How is it that the patient knows that there is an allergy or intolerance  to this medication or treatment - Tick all which apply,The evidence supporting the accuracy of this allergy or abreaction,,
,,,,,,You were a witness to the reaction at an age when old enough to understand and remember what happened,,,,,,,,,,,,,
,,,,,,A parent or other carer witnessed the event,,,,,,,,,,,,,
,,,,,,This information is from a health professional who has read it in the medical records,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,
,,don’t know,,,,,,,,,,,,,,,,,
L,Is pregnancy possible # female 13-55,,,,,,,,,,,,,,,,Pregnancy Likelihood,,
,,No - pregnancy is impossible,,,,,,,,,,,,,,,,,
,,Yes – Pregnancy is possible but unlikely,,,,,,,,,,,,,,,,,
,,Yes - Pregnancy is possible,,,,,,,,,,,,,,,,,
,,Yes – Pregnancy is likely,,,,,,,,,,,,,,,,,
,,Yes – Pregnancy is diagnosed with certainty,,,,,,,,,,,,,,,,,
L,Has there been any significant weight loss,,,,,,,,,,,,,,,,Whether significant weight loss,,
,,yes,,,,,,,,,,,,,,,,,
T,,,How much weight loss,,,,,,,,,,,,,,Amount of Weight Loss,,
,,,,text,,,,,,,,,,,,,,,
T,,,In what period of time,,,,,,,,,,,,,,Time period of weight loss,,
,,,,text,,,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,
D,temperature #tree dialog,,,,,,,,,,,,,,,,,,
L,Was the fever temperature recorded or was this an assessment from feeling the skin,,,,,,,,,,,,,,,,Whether temperature actually recorded or relying on subjective assessment,,
,,Temperature was recorded,,,,,,,,,,,,,,,,,
N,,,What was the last temperature recorded,,,,,,,,,,,,,,Last recorded temperature reading,,
,,,,number,,,,,,,,,,,,,,,
L,,,How long ago was this,,,,,,,,,,,,,,Time temperature recorded,,
,,,,Within the last hour,,,,,,,,,,,,,,,
,,,,1 - 2 hours ago,,,,,,,,,,,,,,,
,,,,2 - 4 hours ago,,,,,,,,,,,,,,,
,,,,4 - 6 hours ago,,,,,,,,,,,,,,,
,,,,6 - 12 hours ago,,,,,,,,,,,,,,,
,,,,More than 12 hours ago,,,,,,,,,,,,,,,
L,,,Had any paracetamol or ibuprofen been given within 6 hours beforehand,,,,,,,,,,,,,,Whether previous antipyretics given within 6 hours,,
,,,,yes,,,,,,,,,,,,,,,
,,,,no,,,,,,,,,,,,,,,
,,,,don’t know,,,,,,,,,,,,,,,
,,Just an assessment from feeling the skin,,,,,,,,,,,,,,,,,
D,smoking cessation #tree dialog,,,,,,,,,,,,,,,,,,
L,Are any devices or medication being used to help stop smoking,,,,,,,,,,,,,,,,Whether any smoking cessation devices or medication used,,
,,yes,,,,,,,,,,,,,,,,,
LM,,,Which of the following devices or medication are being used - tick all which apply,,,,,,,,,,,,,,Smoking cessation support used,,
,,,,e - cigarettes,,,,,,,,,,,,,,,
,,,,nicotine patches,,,,,,,,,,,,,,,
,,,,"Nicotine gum, spray, inhalator or micro-tablets ",,,,,,,,,,,,,,,
,,,,Champix,,,,,,,,,,,,,,,
,,,,Zyban,,,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,
,,don’t know,,,,,,,,,,,,,,,,,
L,Has the diagnosis or cause of this back pain  been identified by a medical professional,,,,,,,,,,,,,,,,Diagnosed by medical professional,,
,,yes,,,,,,,,,,,,,,,,,
D,,,common.diagnoser,,,,,,,,,,,,,,,,
L,,,Which of the following diagnoses have been given,,,,,,,,,,,,,,Diagnosis previously given,,
,,,,Prolapsed Intervertebral disc - PIVD - Slipped disc,,,,,,,,,,,,,,,
,,,,Osteoarthritis,,,,,,,,,,,,,,,
,,,,Osteoporosis,,,,,,,,,,,,,,,
,,,,Rheumatoid Arthritis,,,,,,,,,,,,,,,
,,,,Ankylosing Spondylitis,,,,,,,,,,,,,,,
,,,,Effects of previous injury,,,,,,,,,,,,,,,
,,,,Gout,,,,,,,,,,,,,,,
,,,,any other joint or bone problem,,,,,,,,,,,,,,,
T,,,,,please give details,,,,,,,,,,,,Joint and bone disease details,,
,,,,,,text,,,,,,,,,,,,,
,,,,not sure   ,,,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,
,,don’t know,,,,,,,,,,,,,,,,,
X,Please give details of any treatment which has been tried for this back pain. If no treatment has been tried please continue directly to next question.,,,,,,,,,,,,,,,,Treatments tried,,
,,/*multi instance*/,,,,,,,,,,,,,,,,,
L,,,Type of treatment,,,,,,,,,,,,,,,,
,,,,Ordinary Pain killers,,,,,,,,,,,,,,,
L,,,,,Type of pain killers,,,,,,,,,,,,,,
,,,,,,Paracetamol 500mg,,,,,,,,,,,,,
,,,,,,Co codamol 6/500,,,,,,,,,,,,,
,,,,,,Co codamol 30/500,,,,,,,,,,,,,
,,,,,,Ibuprofen or Brufen tablets 200mg,,,,,,,,,,,,,
,,,,,,tolfenamic acid or Clotam tablets 200mg ,,,,,,,,,,,,,
,,,,,,diclofenac 50mg,,,,,,,,,,,,,
,,,,,,flurbiprofen or Froben tablets 50mg,,,,,,,,,,,,,
,,,,,,"flurbiprofen or Froben tablets 100mg, ",,,,,,,,,,,,,
,,,,,,Naproxen 250mg,,,,,,,,,,,,,
,,,,,,Aspirin 300mg,,,,,,,,,,,,,
N,,,,,Usual number of tablets taken in 24 hours,,,,,,,,,,,,,,
,,,,,,number,,,,,,,,,,,,,
,,,,Cream or gel to rub on,,,,,,,,,,,,,,,
L,,,,,Type of cream or gel,,,,,,,,,,,,Topical cream analgaesia,,
,,,,,,Ibuprofen Cream 10% - Ibugel Forte or Fenbid Forte,,,,,,,,,,,,,
,,,,,,Ibuprofen Cream 5% - Ibuleve ,,,,,,,,,,,,,
,,,,,,Traxam,,,,,,,,,,,,,
,,,,,,Feldene - Piroxicam ,,,,,,,,,,,,,
,,,,,,Ketoprofen or Oruvail or Powergel,,,,,,,,,,,,,
,,,,,,Voltarol - diclofenac,,,,,,,,,,,,,
,,,,,,Movelat ,,,,,,,,,,,,,
,,,,,,Another cream or gel,,,,,,,,,,,,,
T,,,,,,,Details of other cream or gel,,,,,,,,,,,,
,,,,,,,,text,,,,,,,,,,,
,,,,Special strong codeine and similar painkillers to be taken by mouth,,,,,,,,,,,,,,,
L,,,,,Type of codeine and similar painkillers,,,,,,,,,,,,Opiate details,,
,,,,,,Codeine,,,,,,,,,,,,,
,,,,,,Tramadol or Zydol,,,,,,,,,,,,,
,,,,,,Dihydrocodeine or DF118,,,,,,,,,,,,,
,,,,,,Pethidine,,,,,,,,,,,,,
,,,,,,Pentazocine,,,,,,,,,,,,,
,,,,,,Morphine,,,,,,,,,,,,,
,,,,,,Fentanyl,,,,,,,,,,,,,
,,,,,,Buprenorphine,,,,,,,,,,,,,
,,,,,,Any other opiate treatment,,,,,,,,,,,,,
T,,,,,,,Please give details,,,,,,,,,,Other opiate details,,
,,,,,,,,text,,,,,,,,,,,
T,,,,,"If known, please the name and dose in each tablet of this treatment",,,,,,,,,,,,The name and or strength of  opiate medication,,
,,,,,,text,,,,,,,,,,,,,
N,,,,,Usual number of tablets taken in 24 hours,,,,,,,,,,,,number taken in 24 hrs,,
,,,,,,number,,,,,,,,,,,,,
,,,,Patches to put on skin,,,,,,,,,,,,,,,
L,,,,,Type of patches,,,,,,,,,,,,Skin Patch analgaesia,,
,,,,,,Lidocaine 5% patches,,,,,,,,,,,,,
,,,,,,Butrans - Buprenorphine patches,,,,,,,,,,,,,
,,,,,,Transtec - Buprenorphine patches,,,,,,,,,,,,,
,,,,,,Fentanyl Patches,,,,,,,,,,,,,
,,,,,,Voltarol Gel Patches,,,,,,,,,,,,,
,,,,,,Another patch,,,,,,,,,,,,,
T,,,,,"If known, please the name and strength of this treatment",,,,,,,,,,,,The name and or strength of patches,,
,,,,,,text,,,,,,,,,,,,,
,,,,"Specific treatment for named joint or bone diseases (rheumatoid arthritis, osteoporosis or gout)",,,,,,,,,,,,,,,
L,,,,,Type of joint or bone disease specific treatment,,,,,,,,,,,,,,
,,,,,,Alendronate # only if osteoporosis positive,,,,,,,,,,,,,
,,,,,,allopurinol # only for gout,,,,,,,,,,,,,
,,,,,,azathioprine # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,chloroquine # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,ciclosporin # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,cyclophosphamide # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,etidronate # only if osteoporosis positive,,,,,,,,,,,,,
,,,,,,gold # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,hydroxychloroquine,,,,,,,,,,,,,
,,,,,,leflunomide # only for Rheumatoid Arthritis  ,,,,,,,,,,,,,
,,,,,,methotrexate # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,penicillamine # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,Prednisolone # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,risedronate # only if osteoporosis positive,,,,,,,,,,,,,
,,,,,,raloxifene  # only if osteoporosis positive,,,,,,,,,,,,,
,,,,,,strontium ranelate  # only if osteoporosis positive,,,,,,,,,,,,,
,,,,,,sulfasalazine # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
,,,,,,Kenalog - Triamcinolone Injections # only for Rheumatoid Arthritis ,,,,,,,,,,,,,
T,,,,,"If known, please give the dose in each tablet or  injection  ",,,,,,,,,,,,,,
,,,,,,text,,,,,,,,,,,,,
,,,,Any other type of treatment,,,,,,,,,,,,,,,
T,,,,,"If known, please the name and strength of this treatment",,,,,,,,,,,,Name and strength of other arthritis specific medication,,
,,,,,,text,,,,,,,,,,,,,
L,Since this episode of back pain started what change in severity has there been ,,,,,,,,,,,,,,,,Symptom progression,,
,,back pain has become worse,,,,,,,,,,,,,,,,,
,,back pain is neither better nor worse,,,,,,,,,,,,,,,,,
,,back pain is slightly improved,,,,,,,,,,,,,,,,,
,,back pain is much improved,,,,,,,,,,,,,,,,,
,,Not sure what effect this treatment has had,,,,,,,,,,,,,,,,,
D,common.advice,,,,,,,,,,,,,,,,,,
LM,"In which position is the low back pain. Is it on the left side, right side in the centre of the back or across the whole width of the back without interruption ( tick all which apply )",,,,,,,,,,,,,,,,,,
,,left,,,,,,,,,,,,,,,Back pain laterality,,
,,right,,,,,,,,,,,,,,,,,
,,middle,,,,,,,,,,,,,,,,,
,,across the middle without interruption,,,,,,,,,,,,,,,,,
,,not sure,,,,,,,,,,,,,,,,,
HM,Please indicate the position of the back pain on the back on the following image # male,,,,,,,,,,,,,,,,Postion of back pain,,
,,right side of lower neck,234,105,11,16,,,,,,,,,,,,,
,,midline lower neck,248,105,13,12,,,,,,,,,,,,,
,,leftside of lower neck,264,105,9,13,,,,,,,,,,,,,
,,left inner clavicle area,257,120,22,21,,,,,,,,,,,,,
,,left outer clavicle area,279,120,25,26,,,,,,,,,,,,,
,,right inner clavicle area,233,120,22,21,,,,,,,,,,,,,
,,right outer clavicle area,209,120,25,26,,,,,,,,,,,,,
,,left shoulder,304,129,34,34,,,,,,,,,,,,,
,,right shoulder,173,125,34,34,,,,,,,,,,,,,
,,left armpit,303,173,8,10,,,,,,,,,,,,,
,,right armpit,196,173,8,10,,,,,,,,,,,,,
,,upper chest midline,251,143,14,26,,,,,,,,,,,,,
,,upper left chest inner,265,143,16,26,,,,,,,,,,,,,
,,upper left chest outer,280,143,20,26,,,,,,,,,,,,,
,,upper right chest inner,242,143,10,26,,,,,,,,,,,,,
,,upper right chest outer,207,143,36,26,,,,,,,,,,,,,
,,lower chest half midline,252,168,12,36,,,,,,,,,,,,,
,,lower chest half left inner,264,168,20,36,,,,,,,,,,,,,
,,lower chest half left outer,284,168,24,36,,,,,,,,,,,,,
,,lower chest half right inner,228,168,24,36,,,,,,,,,,,,,
,,lower chest half right outer,200,168,28,36,,,,,,,,,,,,,
,,upper abdomen midline,251,204,12,28,,,,,,,,,,,,,
,,upper abdomen left inner,263,204,22,28,,,,,,,,,,,,,
,,upper abdomen right inner,232,204,20,28,,,,,,,,,,,,,
,,upper abdomen right outer,208,204,26,28,,,,,,,,,,,,,
,,upper abdomen left outer,284,204,16,28,,,,,,,,,,,,,
,,mid abdomen upper midline,249,232,15,65,,,,,,,,,,,,,
,,mid abdomen upper left inner,265,232,20,65,,,,,,,,,,,,,
,,mid abdomen upper right inner,232,232,19,65,,,,,,,,,,,,,
,,mid abdomen upper right outer,210,232,24,65,,,,,,,,,,,,,
,,mid abdomen upper left outer,284,232,20,65,,,,,,,,,,,,,
,,mid abdomen lower midline,249,266,15,32,,,,,,,,,,,,,
,,mid abdomen lower left inner,265,266,20,32,,,,,,,,,,,,,
,,mid abdomen lower right inner,232,266,19,32,,,,,,,,,,,,,
,,mid abdomen lower right outer,210,266,24,31,,,,,,,,,,,,,
,,mid abdomen lower left outer,284,266,20,31,,,,,,,,,,,,,
,,lower abdomen midline,254,299,14,38,,,,,,,,,,,,,
,,lower abdomen left inner,264,299,21,38,,,,,,,,,,,,,
,,lower abdomen right inner,231,299,18,38,,,,,,,,,,,,,
,,lower abdomen right outer,208,299,25,38,,,,,,,,,,,,,
,,lower abdomen left outer,284,299,21,38,,,,,,,,,,,,,
,,groin left,276,328,24,17,,,,,,,,,,,,,
,,groin right,216,328,27,17,,,,,,,,,,,,,
,,Hip left,294,328,16,16,,,,,,,,,,,,,
,,Hip right,203,328,16,16,,,,,,,,,,,,,
,,scrotum left,257,337,16,21,,,,,,,,,,,,,
,,scrotum right,240,337,16,21,,,,,,,,,,,,,
,,Penis,253,337,8,29,,,,,,,,,,,,,
,,left leg upper thigh,258,348,51,58,,,,,,,,,,,,,
,,right leg upper thigh,202,348,51,58,,,,,,,,,,,,,
,,left upper arm upper,310,162,20,36,,,,,,,,,,,,,
,,right upper arm upper,176,162,20,36,,,,,,,,,,,,,
,,Lower spine - lumbar spine,460,217,21,76,,,,,,,,,,,,,
,,Bottom of spine - sacrum spine,460,316,21,24,,,,,,,,,,,,,
,,Coccyx spine - tail,460,338,21,26,,,,,,,,,,,,,
,,Anal area,460,342,21,8,,,,,,,,,,,,,
,,Left upper outer rear chest,415,118,23,68,,,,,,,,,,,,,
,,Left upper inner rear chest,437,118,23,68,,,,,,,,,,,,,
,,Left lower outer rear chest,419,187,20,51,,,,,,,,,,,,,
,,Left lower inner rear chest,437,187,20,51,,,,,,,,,,,,,
,,right upper outer rear chest,504,118,23,68,,,,,,,,,,,,,
,,right upper inner rear chest,480,118,23,68,,,,,,,,,,,,,
,,right lower outer rear chest,504,187,20,51,,,,,,,,,,,,,
,,right lower inner rear chest,480,187,20,51,,,,,,,,,,,,,
,,Left upper outer back,422,237,19,28,,,,,,,,,,,,,
,,Left upper inner back,441,237,19,28,,,,,,,,,,,,,
,,Left lower outer back,422,264,19,29,,,,,,,,,,,,,
,,Left lower inner back,422,264,19,29,,,,,,,,,,,,,
,,right upper outer back,501,237,15,29,,,,,,,,,,,,,
,,right upper inner back,481,237,20,28,,,,,,,,,,,,,
,,right lower outer back,501,264,15,28,,,,,,,,,,,,,
,,right lower inner back,481,264,20,29,,,,,,,,,,,,,
,,left buttock upper outer quadrant,418,294,21,24,,,,,,,,,,,,,
,,left buttock upper inner quadrant,438,294,22,24,,,,,,,,,,,,,
,,left buttock lower outer quadrant,415,316,24,30,,,,,,,,,,,,,
,,left buttock lower inner quadrant,438,316,22,30,,,,,,,,,,,,,
,,right buttock upper outer quadrant,500,294,20,24,,,,,,,,,,,,,
,,right buttock upper inner quadrant,481,294,20,24,,,,,,,,,,,,,
,,right buttock lower outer quadrant,500,316,24,30,,,,,,,,,,,,,
,,right buttock lower inner quadrant,481,316,20,30,,,,,,,,,,,,,
,,left leg upper back of thigh,416,345,51,60,,,,,,,,,,,,,
,,right leg upper back of thigh,469,345,56,60,,,,,,,,,,,,,
,,back of left shoulder,387,132,28,36,,,,,,,,,,,,,
,,back of right shoulder,523,132,28,36,,,,,,,,,,,,,
,,left upper arm upper,387,167,26,19,,,,,,,,,,,,,
,,back of right shoulder,523,132,28,36,,,,,,,,,,,,,
,,left upper arm upper,387,167,26,19,,,,,,,,,,,,,
,,right upper arm upper,523,167,26,19,,,,,,,,,,,,,
,,Right top of back area,577,118,24,17,,,,,,,,,,,,,
,,Right shoulder joint,577,136,40,36,,,,,,,,,,,,,
,,Right upper chest ,616,134,35,35,,,,,,,,,,,,,
,,Right lower chest - upper,620,169,32,18,,,,,,,,,,,,,
,,Right outer upper upper-arm,578,169,42,38,,,,,,,,,,,,,
,,Right lower chest - lower,620,187,33,20,,,,,,,,,,,,,
,,Right upper abdomen,616,207,33,28,,,,,,,,,,,,,
,,Right outer lower upper-arm,580,206,36,28,,,,,,,,,,,,,
,,Right mid upper abdominal upper,616,233,30,18,,,,,,,,,,,,,
,,Right mid upper abdominal mid,616,250,30,8,,,,,,,,,,,,,
,,Right mid upper abdominal lower,620,258,26,8,,,,,,,,,,,,,
,,Right mid lower abdominal upper,626,268,19,14,,,,,,,,,,,,,
,,Right mid  lower abdominal mid,626,280,17,10,,,,,,,,,,,,,
,,Right mid lower abdominal lower,629,290,11,14,,,,,,,,,,,,,
,,Right lower abdominal,634,305,8,7,,,,,,,,,,,,,
,,Right upper loin,580,251,5,14,,,,,,,,,,,,,
,,Right lower loin upper,582,266,8,11,,,,,,,,,,,,,
,,Right lower loin lower,582,277,14,10,,,,,,,,,,,,,
,,Right buttock upper quadrant,568,287,35,26,,,,,,,,,,,,,
,,Right buttock lower quadrant,568,313,26,34,,,,,,,,,,,,,
,,Upper spine - upper rear of chest right side,567,118,9,53,,,,,,,,,,,,,
,,Upper spine - lower rear of chest right side,567,171,11,51,,,,,,,,,,,,,
,,Lower spine - lumbar spine right side,567,221,14,45,,,,,,,,,,,,,
,,Bottom of spine - sacrum spine right side,567,266,16,21,,,,,,,,,,,,,
,,Right hip area,595,313,23,31,,,,,,,,,,,,,
,,Right front of hip area,617,321,6,25,,,,,,,,,,,,,
,,Right upper outer thigh - rear,580,345,28,53,,,,,,,,,,,,,
,,Right upper outer thigh - mid,608,345,19,53,,,,,,,,,,,,,
,,Right upper outer thigh - front,627,374,9,24,,,,,,,,,,,,,
,,Right lower outer thigh - front,639,399,7,18,,,,,,,,,,,,,
,,Left lower inner thigh - front,640,366,35,33,,,,,,,,,,,,,
,,Left top of back area,134,118,24,17,,,,,,,,,,,,,
,,Left shoulder joint,116,136,40,36,,,,,,,,,,,,,
,,Left upper chest ,80,134,35,35,,,,,,,,,,,,,
,,Left lower chest - upper,80,169,32,18,,,,,,,,,,,,,
,,Left outer upper upper-arm,110,169,42,38,,,,,,,,,,,,,
,,Left lower chest - lower,80,187,33,20,,,,,,,,,,,,,
,,Left upper abdomen,81,207,33,28,,,,,,,,,,,,,
,,Left outer lower upper-arm,116,206,36,28,,,,,,,,,,,,,
,,Left mid upper abdominal upper,85,233,30,18,,,,,,,,,,,,,
,,Left mid upper abdominal mid,87,250,30,8,,,,,,,,,,,,,
,,Left mid upper abdominal lower,87,258,26,8,,,,,,,,,,,,,
,,Left mid lower abdominal upper,87,268,19,14,,,,,,,,,,,,,
,,Left mid  lower abdominal mid,87,280,17,10,,,,,,,,,,,,,
,,Left mid lower abdominal lower,87,290,11,14,,,,,,,,,,,,,
,,Left lower abdominal,90,305,8,7,,,,,,,,,,,,,
,,Left upper loin,145,251,5,14,,,,,,,,,,,,,
,,Left lower loin upper,141,266,8,11,,,,,,,,,,,,,
,,Left lower loin lower,136,277,14,10,,,,,,,,,,,,,
,,Left buttock upper quadrant,130,287,35,26,,,,,,,,,,,,,
,,Left buttock lower quadrant,137,313,26,34,,,,,,,,,,,,,
,,Upper spine - upper rear of chest Left side,153,118,9,53,,,,,,,,,,,,,
,,Upper spine - lower rear of chest Left side,153,171,11,51,,,,,,,,,,,,,
,,Lower spine - lumbar spine Left side,153,221,14,45,,,,,,,,,,,,,
,,Bottom of spine - sacrum spine Left side,153,266,16,21,,,,,,,,,,,,,
,,Left hip area,111,313,23,31,,,,,,,,,,,,,
,,Left front of hip area,106,321,6,25,,,,,,,,,,,,,
,,Left upper outer thigh - rear,120,345,28,53,,,,,,,,,,,,,
,,Left upper outer thigh - mid,102,345,19,53,,,,,,,,,,,,,
,,Left upper outer thigh - front,93,374,9,24,,,,,,,,,,,,,
,,Left lower outer thigh - front,98,399,7,18,,,,,,,,,,,,,
,,Right lower inner thigh - front,44,366,35,33,,,,,,,,,,,,,
HM,Please indicate the position of the back pain on the back on the following image # female,,,,,,,,,,,,,,,,Postion of back pain,,
,,left inner clavicle area,252,120,26,20,,,,,,,,,,,,,
,,left outer clavicle area,278,120,16,20,,,,,,,,,,,,,
,,right inner clavicle area,227,120,26,20,,,,,,,,,,,,,
,,right outer clavicle area,207,120,16,20,,,,,,,,,,,,,
,,left shoulder,293,120,26,40,,,,,,,,,,,,,
,,right shoulder,183,120,26,40,,,,,,,,,,,,,
,,left armpit,296,165,8,15,,,,,,,,,,,,,
,,right armpit,200,165,8,15,,,,,,,,,,,,,
,,sternum upper part,245,140,16,20,,,,,,,,,,,,,
,,upper left chest inner,260,140,19,20,,,,,,,,,,,,,
,,upper left chest outer,278,140,18,20,,,,,,,,,,,,,
,,upper right chest inner,227,140,19,20,,,,,,,,,,,,,
,,upper right chest outer,207,140,18,20,,,,,,,,,,,,,
,,mid sternum,244,160,16,20,,,,,,,,,,,,,
,,breast left upper outer quadrant,210,160,18,20,,,,,,,,,,,,,
,,breast left upper inner quadrant,227,160,18,20,,,,,,,,,,,,,
